,DET,NOUN,ADJ,VERB,ADP,PUNCT,CCONJ,ADV,PRON,AUX,SCONJ,PROPN,NUM,X,SYM,SPACE,INTJ
0,1,1,,3,,,,,4,1,,,,,,,
1,2,1,2,3,1,1,,2,3,1,,,,,,,
2,1,1,3,,,3,1,3,,1,,,,,,,
3,1,1,2,,,1,1,2,2,2,,,,,,,
4,10,13,9,7,11,6,5,8,11,,2,1,,,,,
5,3,3,1,8,2,7,1,2,6,,2,,,,,,
6,3,7,1,1,2,3,,,,,,,,,,,
7,2,3,,2,1,,,1,,,,,,,,,
8,8,11,3,4,7,1,4,1,1,2,,,,,,,
9,,1,,3,,2,,2,3,,,,,,,,
10,,,,1,,1,,,2,1,,1,,,,,
11,2,5,1,3,1,1,1,,,,,,,,,,
12,4,4,2,1,3,3,1,2,,1,,1,,,,,
13,2,2,2,1,2,1,,,,,,2,,,,,
14,1,1,,1,,1,,,,1,,,,,,,
15,3,2,,2,1,1,,1,1,1,1,1,1,,,,
16,3,3,1,3,1,2,,,,2,,,,,,,
17,2,3,,4,2,1,,,1,,,,,,,,
18,,,,4,1,3,,2,5,,,1,,,,,
19,1,3,,1,,2,1,,1,,,,2,,,,
20,9,22,4,5,18,12,2,1,6,,,,,,,,
21,,4,,2,,2,,,,,1,,8,,,,
22,4,4,1,1,2,1,,,,,,,,,,,
23,3,5,4,2,4,1,2,1,1,1,1,,,,,,
24,2,3,1,1,1,2,,,3,,2,,,,,,
25,12,22,9,9,14,10,4,5,15,2,1,1,,,,,
26,1,3,,3,2,,,,2,,,,,,,,
27,,,,1,,,,,1,1,,,,,,,
28,1,2,1,1,1,,,1,2,,1,,,,,,
29,,6,3,2,3,1,2,,,,,,1,,,,
30,,2,,,2,1,,1,1,1,,,,,,,
31,5,5,,1,1,2,1,,2,2,,,2,,,,
32,,,,3,,3,,,4,1,,1,,,,1,
33,1,,,1,,1,1,4,,,,1,,,,,
34,2,1,,3,1,1,,,3,1,,1,,,,,
35,,,,2,1,1,,,3,1,,,,,,,
36,4,5,3,4,2,3,,3,,2,2,,1,,,,
37,1,1,,4,,1,,,2,1,1,,,,,,
38,1,2,2,,,1,,,,,,,,,,,
39,2,3,2,2,3,2,1,,1,,,1,1,,,,
40,3,5,2,3,4,3,,2,4,,,,,,,,
41,4,5,5,2,5,4,,2,1,,,4,,,,,
42,1,1,,3,,3,,,3,1,1,,,,,,
43,8,12,4,2,12,5,1,2,1,4,,3,1,,,,
44,8,12,2,3,8,8,2,3,4,1,1,2,3,,,,
